EBS_RAW.SID,EBS_RAW.SCIENTIFIC,EBS_RAW.COMMON,,,
10155,Liopsetta glacialis,Arctic flounder,55,Misc. Flatfish,Misc. Flatfish
20039,Podothecus sp.,,76,Misc. fish shallow,Misc. fish shallow
21334,Artediellus scaber,hamecon,75,Other sculpins,Other sculpins
21376,Megalocottus platycephalus,belligerent sculpin,75,Other sculpins,Other sculpins
21404,Nautichthys sp.,,75,Other sculpins,Other sculpins
21753,Pungitius pungitius,ninespine stickleback,76,Misc. fish shallow,Misc. fish shallow
22213,Liparis rutteri,ringtail snailfish,76,Misc. fish shallow,Misc. fish shallow
23201,Salmonidae,salmon and trouts unid.,79,Salmon returning,Salmon returning
23202,Oncorhynchus sp.,salmon unid.,79,Salmon returning,Salmon returning
24187,Lycodes concolor,ebony eelpout,60,Eelpouts,Eelpouts
40035,Abietinaria greenei,bushy white hydroid,116,Gelatinous filter feeders,Gelatinous filter feeders
40049,Sertulariidae,Sertulariid hydroid,116,Gelatinous filter feeders,Gelatinous filter feeders
40050,Sertularia robusta,,116,Gelatinous filter feeders,Gelatinous filter feeders
40503,Periphylla periphylla,helmet jelly,110,Scyphozoid Jellies,Scyphozoid Jellies
40519,Staurostoma mertensii,whitecross jelly,110,Scyphozoid Jellies,Scyphozoid Jellies
43009,Corallimorphus sp.,,101,Anemones,Anemones
60101,Iphinoe sp.,,100,Benthic Amphipods,Benthic Amphipods
60105,Eusirus cuspidatus,speckled amphipod,100,Benthic Amphipods,Benthic Amphipods
62020,Saduria entomon,,99,Misc. Crustacean,Misc. Crustacean
66612,Argis crassa,rough argid,92,NP shrimp,NP shrimp
69290,Lithodes sp.,,89,King Crab,King Crab
70108,Cryptochiton stelleri,giant Pacific chiton,96,Snails,Snails
71504,Asterophila japonica,,96,Snails,Snails
71585,Onchidiopsis glacialis,icy lamellaria,96,Snails,Snails
71586,Capulacmaea commoda,widemouth lamellaria,96,Snails,Snails
71733,Colus bristolensis,,96,Snails,Snails
71739,Habevolutopsius attenuatus,attenuate melon whelk,96,Snails,Snails
71895,Colus callorhinus,,96,Snails,Snails
72065,Boreoscala greenlandica,Greenland wentletrap,96,Snails,Snails
72533,Margarites giganteus,giant margarite,96,Snails,Snails
72538,Margarites sp. C (Clark and McLean),silvery margarite,96,Snails,Snails
72760,Buccinum castaneum,chestnut whelk,96,Snails,Snails
74639,Astarte crenata,crenulate Astarte,107,Bivalves,Bivalves
74646,Astarte arctica,,107,Bivalves,Bivalves
75331,Mya baxteri,,107,Bivalves,Bivalves
81065,Solaster stimpsoni,striped sun sea star,93,Sea stars,Sea stars
83021,Gorgonocephalus sp. cf. arcticus,,94,Brittle stars,Brittle stars
83022,Gorgonocephalus sp.,,94,Brittle stars,Brittle stars
91010,Demospongiae,,106,Sponges,Sponges
91017,Suberites sp. A (Clark 2006),wax sponge,106,Sponges,Sponges
91261,Monanchora alaskensis,,106,Sponges,Sponges
95037,Alcyonidium sp. A,medusa bryozoan,0,Bryozoan,Bryozoan
95040,Myriapora subgracilis,,0,Bryozoan,Bryozoan
95041,Alcyonidium enteromorpha,noodle bryozoan,0,Bryozoan,Bryozoan
95071,Hippoporina insculpta,,0,Bryozoan,Bryozoan
95100,Microporina articulata,,0,Bryozoan,Bryozoan
98002,Ascidian n. sp. B,transparent tunicate,104,Urochordata,Urochordata
98212,Distaplia occidentalis,globular ascidian,104,Urochordata,Urochordata
98213,Distaplia smithi,paddle ascidian,104,Urochordata,Urochordata
98214,Distaplia sp. A (Clark 2006),peach ascidian,104,Urochordata,Urochordata
