YEAR,INDICATOR_NAME,DATA_VALUE
1990,SUM_PLCK_EUPH_JUV_GOA,0.487247048
1993,SUM_PLCK_EUPH_JUV_GOA,0.233338719
1996,SUM_PLCK_EUPH_JUV_GOA,0.43954967
1999,SUM_PLCK_EUPH_JUV_GOA,0.527267907
2001,SUM_PLCK_EUPH_JUV_GOA,0.517694395
2003,SUM_PLCK_EUPH_JUV_GOA,0.531027153
2005,SUM_PLCK_EUPH_JUV_GOA,0.245952345
2007,SUM_PLCK_EUPH_JUV_GOA,0.090032067
2009,SUM_PLCK_EUPH_JUV_GOA,0.509080171
2011,SUM_PLCK_EUPH_JUV_GOA,0.214076435
2013,SUM_PLCK_EUPH_JUV_GOA,0.348175424
2017,SUM_PLCK_EUPH_JUV_GOA,0.24457767
2019,SUM_PLCK_EUPH_JUV_GOA,0.685721996
2021,SUM_PLCK_EUPH_JUV_GOA,0.355416313
